,Device,Qubits,Model,Model_spec,sim_iter_num,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,CNOT/ECR error,Gate length (ns),MEASURE error
16,AerSim with backend noise,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,262.65449699187104,156.87363254666934,4.747595767863307,-0.3097991415649545,0.006561279296875,0.010009765625,0.00439453125,840.0,0.00023283544264633436,60.0,0.0,0.00023283544264633436,0.00023283544264633436,0.006055378340005118,641.0,0.006561279296875
17,AerSim with backend noise,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,262.65449699187104,156.87363254666934,4.747595767863307,-0.3097991415649545,0.006561279296875,0.010009765625,0.00439453125,840.0,0.00023283544264633436,60.0,0.0,0.00023283544264633436,0.00023283544264633436,0.006055378340005118,641.0,0.006561279296875
18,AerSim with backend noise,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,262.65449699187104,156.87363254666934,4.747595767863307,-0.3097991415649545,0.006561279296875,0.010009765625,0.00439453125,840.0,0.00023283544264633436,60.0,0.0,0.00023283544264633436,0.00023283544264633436,0.006055378340005118,641.0,0.006561279296875
19,AerSim with backend noise,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,262.65449699187104,156.87363254666934,4.747595767863307,-0.3097991415649545,0.006561279296875,0.010009765625,0.00439453125,840.0,0.00023283544264633436,60.0,0.0,0.00023283544264633436,0.00023283544264633436,0.006055378340005118,641.0,0.006561279296875
20,FakeGuadalupeV2,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,80.25213648474595,99.90548966252894,5.157939640448022,-0.32634947314909796,0.015574999999999978,0.027050000000000005,0.004100000000000006,5351.11111111111,0.00027295059703854116,35.55555555555556,0.0,0.00027295059703854116,0.00027295059703854116,0.010105176395695017,387.55555555555554,0.015574999999999978
21,FakeGuadalupeV2,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,80.25213648474595,99.90548966252894,5.157939640448022,-0.32634947314909796,0.015574999999999978,0.027050000000000005,0.004100000000000006,5351.11111111111,0.00027295059703854116,35.55555555555556,0.0,0.00027295059703854116,0.00027295059703854116,0.010105176395695017,387.55555555555554,0.015574999999999978
22,FakeGuadalupeV2,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,80.25213648474595,99.90548966252894,5.157939640448022,-0.32634947314909796,0.015574999999999978,0.027050000000000005,0.004100000000000006,5351.11111111111,0.00027295059703854116,35.55555555555556,0.0,0.00027295059703854116,0.00027295059703854116,0.010105176395695017,387.55555555555554,0.015574999999999978
23,FakeGuadalupeV2,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,80.25213648474595,99.90548966252894,5.157939640448022,-0.32634947314909796,0.015574999999999978,0.027050000000000005,0.004100000000000006,5351.11111111111,0.00027295059703854116,35.55555555555556,0.0,0.00027295059703854116,0.00027295059703854116,0.010105176395695017,387.55555555555554,0.015574999999999978
24,FakeGuadalupeV2,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,80.25213648474595,99.90548966252894,5.157939640448022,-0.32634947314909796,0.015574999999999978,0.027050000000000005,0.004100000000000006,5351.11111111111,0.00027295059703854116,35.55555555555556,0.0,0.00027295059703854116,0.00027295059703854116,0.010105176395695017,387.55555555555554,0.015574999999999978
25,AerSim with backend noise,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,262.65449699187104,156.87363254666934,4.747595767863307,-0.3097991415649545,0.006561279296875,0.010009765625,0.00439453125,840.0,0.00023283544264633436,60.0,0.0,0.00023283544264633436,0.00023283544264633436,0.006055378340005118,641.0,0.006561279296875
